pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
TOI-3837 b,10.87271128,187.51876013,0.099,11.88865,138.065,1178.0,0.221,5905.0,1.2,0.89
TOI-3856 b,13.59649359,171.62733978,0.0325,2.04360352,949.0,1544.0,0.083,5622.0,1.055,1.096
TOI-3877 b,11.67975789,99.7981198,0.0529,4.123596,729.0,1445.0,0.22,5731.0,1.445,1.16
TOI-3884 b,6.43,32.59,0.0361,4.5445828,6.29,441.0,0.06,3180.0,0.302,0.298
TOI-3894 b,15.27784069,260.61929374,0.05354,4.33454,546.903,1531.0,0.05,6000.0,1.502,1.138
TOI-3912 b,14.28024141,129.03833324,0.0463,3.4936264,872.2,1512.0,0.0,5725.0,1.392,1.088
TOI-3919 b,12.31866979,1233.17421916,0.0795,7.433234,184.322,1198.0,0.259,6100.0,1.319,1.208
TOI-3976 A b,12.27383387,55.61997123,0.0743,6.607662,469.0,1295.0,0.0,5975.0,1.501,1.254
TOI-3980 b,14.4595851,187.51876013,0.0494,3.6089254,1153.0,1621.0,0.16,5840.0,1.626,1.24
TOI-3984 A b,7.9,44.0,0.041,4.353326,16.7,563.0,0.23,3476.0,0.47,0.49
TOI-4010 b,3.02,11.0,0.0229,1.348335,714.0,1441.0,0.03,4960.0,0.83,0.88
TOI-4010 c,5.93,20.31,0.058,5.414654,112.0,907.0,0.03,4960.0,0.83,0.88
TOI-4010 d,6.18,38.15,0.113,14.70886,30.0,650.0,0.07,4960.0,0.83,0.88
TOI-4010 e,13.3,692.0,1.57,762.0,0.15,174.0,0.26,4960.0,0.83,0.88
TOI-406 c,1.32,2.08,0.0322,3.307441,19.0,584.0,0.032,3392.0,0.41,0.408
TOI-406.01,2.08,6.57,0.0809,13.175682,3.0,368.0,0.056,3392.0,0.41,0.408
TOI-4087 b,13.04725353,232.01473711,0.04469,3.1774835,753.9,1458.0,0.0,6060.0,1.112,1.178
TOI-411 b,1.362,13.71,0.05727,4.040295,495.139,1241.0,0.126,6169.0,1.117,1.098
TOI-411 c,2.328,9.72,0.1017,9.573083,156.75,931.0,0.16,6169.0,1.117,1.098
TOI-4127 b,12.28504285,731.0053361,0.3081,56.39879,22.3,605.1,0.7471,6096.0,1.293,1.23
TOI-4137 b,13.57407563,457.67290608,0.05222,3.8016122,1013.0,1570.0,0.0,6202.0,1.438,1.313
TOI-4145 A b,13.30506009,136.66621501,0.04823,4.0664428,223.0,1074.0,0.0,5281.0,0.859,0.905
TOI-4153 b,16.11851425,365.50266805,0.06311,4.6174141,1212.0072,1669.0,0.039,6860.0,1.605,1.572
TOI-4184 b,2.43,6.48,0.0336,4.9019804,4.8,412.0,,3238.0,0.2347,0.2109
TOI-4201 b,13.67495645,788.21444936,0.04,3.5819194,45.2,725.0,0.041,3794.0,0.63,0.61
TOI-421 b,2.64,6.7,0.0554,5.197576,154.57,922.0,0.13,5291.0,0.866,0.833
TOI-421 c,5.09,14.1,0.117,16.067541,34.32,635.0,0.19,5291.0,0.866,0.833
TOI-4214 b,10.68215861,165.27077164,0.05018,3.4913885,1210.0,1642.0,0.17,6370.0,1.434,1.382
TOI-431 b,1.28,3.07,0.0113,0.490047,2120.4475,1862.0,0.0,4850.0,0.731,0.78
TOI-431 d,3.29,9.9,0.098,12.46103,28.3588,633.0,0.0,4850.0,0.731,0.78
